regla_idx,activacion_media,magnitud_parametros,importancia_total,bias,Contraste_condicion,ASM_condicion,Homogeneidad_condicion,Energía_condicion,Media_condicion,Entropía_condicion,Varianza_condicion,Contraste_parametro,ASM_parametro,Homogeneidad_parametro,Energía_parametro,Media_parametro,Entropía_parametro,Varianza_parametro
116,0.0042727102523430465,44053596.77732766,188228.25460307449,5265166.762368972,alto,alto,alto,bajo,alto,bajo,bajo,8373.362718501769,31226698.36775739,-67807.46047324498,-30623757.253936358,-12758.525585299329,258845.19123143167,66159.70827394842
49,0.0021184723935377295,87320594.22760038,184986.26825848143,-8344279.710797186,bajo,alto,alto,bajo,bajo,bajo,alto,-524906.7062259383,-60531195.31663146,-1292254.3297317713,62319944.80396873,-296604.50380363606,-1379854.8791593772,1876332.4644508895
35,0.00022094621871766908,822136429.8381317,181647.93544277945,138455020.85899726,bajo,alto,bajo,bajo,bajo,alto,alto,618374.7874363862,612119549.3518454,-5686548.037625547,-530702540.9625145,269418.31499157305,10513359.238539295,-16114101.230879769
38,0.00013013133275574412,1350717792.54763,175770.7065211198,355651860.6424584,bajo,alto,bajo,bajo,alto,alto,bajo,1217109.2497544196,1013941857.4999335,-6078250.065725979,-818321884.8247579,87050.4771354459,4314456.151712764,12824311.45451036
117,0.005536036222185008,31074196.25224469,172027.87602771222,-5908898.463462781,alto,alto,alto,bajo,alto,bajo,alto,-25716.643680837442,-22902056.53745552,101739.78562839719,20153162.62768513,-2212.865292817878,-116744.80729702173,108570.4942674959
114,0.044863479009546514,3794674.938619213,170242.3194567953,1894808.7452807021,alto,alto,alto,bajo,bajo,alto,bajo,23.930373371287715,2617000.7036982435,-79.59276538051199,-1990116.7936500546,26.717732711113058,-390.2453391116578,-114.69302449721727
121,0.0013498373318668682,119928163.13709652,161883.51174467287,-99105818.97085652,alto,alto,alto,alto,bajo,bajo,alto,-14666.219415062886,-55725167.689167425,4547.62136546669,38150846.10947057,3884.2283099553733,-101233.45029078929,-95329.01960006818
17,0.01953465207617607,8039459.631791437,157048.0467875083,2100068.6029212615,bajo,bajo,alto,bajo,bajo,bajo,alto,21154.38700660458,4429287.0718443515,86639.22120572627,-6365559.930366535,14433.936134239193,221134.9378714976,-163165.49982280843
57,0.00011812028105743079,1292207769.1308467,152635.94487433124,794203053.2426214,bajo,alto,alto,alto,bajo,bajo,alto,-1042010.1789667057,850514119.2416874,-3384184.002817109,-561795601.7264978,1802162.6116924535,-3036041.062602751,-5372136.588532771
53,0.0018543804207895227,76716645.37559696,142261.84513316007,9743805.473228801,bajo,alto,alto,bajo,alto,bajo,alto,537727.4635447022,53740858.19876471,951798.6796777193,-53825803.06529027,266227.14975719026,1448298.4114792882,-1357018.8967667788
58,0.002003029047100454,68568447.96697517,137344.59299244735,56453255.98014807,bajo,alto,alto,alto,bajo,alto,bajo,12616.515058902354,30355247.88873981,14103.33931688661,-24356090.50038337,-7131.595337373254,23073.515500045436,-28029.672612844304
80,0.03144002828770249,4274682.23086685,134396.13025939296,-504907.31492315186,alto,bajo,alto,bajo,bajo,bajo,bajo,5792.611507369205,-2689352.3888171744,-42682.01305166818,3283802.970412491,-5014.720572119579,-9683.856443452183,4932.080199202057
52,0.0012118673066472132,108574284.12791522,131577.62527724588,-12443338.727275528,bajo,alto,alto,bajo,alto,bajo,bajo,-449966.2077833074,-77521213.31453574,-999311.4743825579,74964685.7573228,-196763.6900065047,-1665473.4891870916,-531281.3301539245
101,0.00097706942266871,125426562.89728527,122550.45939737116,14736376.347798018,alto,alto,bajo,bajo,alto,bajo,alto,-330991.3451005613,84927775.6457728,476680.18231537694,-91098313.53574869,-232874.99297187262,1603696.6001343485,263124.21410429676
1,0.0101859131998963,11721806.98989682,119397.30854502675,2412807.3920098394,bajo,bajo,bajo,bajo,bajo,bajo,alto,-19831.97648820024,7010751.6700111665,-157034.21036823234,-9077574.757638697,3817.118824551115,-2619.417518956354,-32290.185991576174
16,0.012390130026115597,8949000.87610313,110879.28445874016,-3813426.137573226,bajo,bajo,alto,bajo,bajo,bajo,bajo,12693.063445765758,-4018913.350554564,-210652.5786195686,7016514.55487062,-24146.11431694147,-302312.5469696997,-150815.1920739496
65,0.015304797726957706,7207711.365570074,110312.5645243441,-1400738.7911673184,alto,bajo,bajo,bajo,bajo,bajo,alto,13549.235960823717,-4182564.7302957163,19376.951346346643,5699228.451107334,-7983.133074191399,104007.26257766737,50408.51258435799
32,0.0003608334528764669,288569932.3880743,104125.68509991745,44087812.52664924,bajo,alto,bajo,bajo,bajo,bajo,bajo,-1905240.1942089752,198600037.97185346,-1911083.780635215,-204634099.3433766,-609861.9686225809,-512496.83076322987,-1965757.4976766852
92,0.0005920129639855316,170264637.1626145,100798.87250856051,19197437.41441092,alto,bajo,alto,alto,alto,bajo,bajo,25366.93861431003,103827827.61997792,48052.834618640285,-133570877.7859488,4863.416554352134,-287391.9239193442,-149377.764661413
24,9.768849930866267e-05,972888752.9439951,95040.04226937516,12802694.650139231,bajo,bajo,alto,alto,bajo,bajo,bajo,-1670054.9105684217,-791001691.0470881,-7710058.612696116,566189009.1433709,1084038.2696108106,-5412600.768651459,1497273.2702074454
20,0.0113767230475588,7609859.858065771,86575.2680359494,3218279.06941047,bajo,bajo,alto,bajo,alto,bajo,bajo,-12412.898691066075,3549341.795620623,270886.19159930805,-5885984.701834782,31140.549395491602,477169.0117496259,88376.41076039709
56,8.627799288190743e-05,767337620.8307273,66204.34978805328,-365525984.59051746,bajo,alto,alto,alto,bajo,bajo,bajo,1018217.4549150933,-564366877.4807302,3708621.4116477924,369657335.7365617,-665003.9531501618,3795069.40864481,-3409581.85951367
84,0.02451299712655094,2552945.90702336,62580.35568310361,-1130675.488219463,alto,bajo,alto,bajo,alto,bajo,bajo,-6555.798547098413,-1167636.936380604,20943.510190112516,1967729.352621477,155.602088579908,-56552.975516744424,-9542.106324280147
125,0.0007004103281929682,85173424.41229291,59656.34614593305,70511213.29973489,alto,alto,alto,alto,alto,bajo,alto,23413.839182973377,39562908.87863079,30701.80828977927,-26784916.399163082,-38137.60278546265,32112.45691554913,146775.92218541057
97,0.0010741244930679975,54911593.6574577,58981.88770087262,6505372.458231001,alto,alto,bajo,bajo,bajo,bajo,alto,473378.86298875726,36338899.98769505,-868119.691524369,-40616640.38208377,249178.6773581978,-1236270.2332608204,-409811.52812345594
33,0.0005709303149104925,96698339.71161573,55208.01354287455,-16883246.9258868,bajo,alto,bajo,bajo,bajo,bajo,alto,1786051.7615305278,-65336553.7939471,985284.5295594729,69171798.74234533,396008.743436805,-1180306.6770308719,-2492219.899191381
88,0.0013034948719095594,42274670.73179618,55104.81651056147,4372612.754226661,alto,bajo,alto,alto,bajo,bajo,bajo,-3795.2352115577305,28320135.456234947,9565.525451996044,-31080255.56920267,-3830.0252349732145,-111117.82234069328,56718.024362269185
91,0.03717552796722833,1383632.0921189538,51437.25353692281,289647.9300668614,alto,bajo,alto,alto,bajo,alto,alto,30.62018642912153,1010029.8865222712,-69.46151067840401,-900211.8820782761,84.60920675424859,-159.58655134856235,16.03961003245786
69,0.01444016884335865,3325863.4265694334,48026.02942961397,-1490340.2006190694,alto,bajo,bajo,bajo,alto,bajo,alto,4247.957051032921,-1645128.782385282,-43900.176888486836,2469171.4553268855,13504.925724601839,-176189.9382899925,-61860.19830157398
36,0.0003387348057546191,141487620.01830703,47926.781483584586,-21259552.603557542,bajo,alto,bajo,bajo,alto,bajo,bajo,2022052.3659971566,-98418953.8931314,510221.5334251432,99347663.63705347,491681.7490874538,1798663.893720556,1644178.0478398679
112,0.0070744777339164415,5589853.108698718,39545.29135335269,211329.0106207347,alto,alto,alto,bajo,bajo,bajo,bajo,-9215.808733360012,-3835411.1131311725,67437.25721931545,4060122.989242556,4260.145820837992,46528.22989896868,2234.2293880410143
90,0.04399129526890592,732496.6232384484,32223.475236359114,-96154.87528484198,alto,bajo,alto,alto,bajo,alto,bajo,-4.93707631342113,-496542.3926581042,14.971181922592223,529859.590047217,-32.730336999055,84.48734359955415,41.05056514730677
100,0.0006537967901052055,39550047.24211597,25857.693935404655,7125411.3042226015,alto,alto,bajo,bajo,alto,bajo,bajo,40775.73667364272,30203142.509359937,-497642.95646206033,-24501137.48017698,119621.28473589328,-757396.0160149087,248849.72647889436
124,0.0006065870350555391,42094830.00240018,25534.17812232288,-33780837.95575836,alto,alto,alto,alto,alto,bajo,bajo,954.4947578739957,-21445321.66992277,-20717.28071603695,13073294.692997253,-2152.9409330897406,118845.68484531522,47804.106672536924
113,0.008002711938237112,3094538.5285217958,24764.70042553608,2018865.3118619288,alto,alto,alto,bajo,bajo,bajo,alto,14443.11358987636,2339311.075446038,-80996.77856666525,120154.21848538244,10904.49640670116,-78277.82342740567,-22864.946782831656
37,0.000541710554647361,45243576.26818485,24508.92279446859,-3396973.2543407865,bajo,alto,bajo,bajo,alto,bajo,alto,-1800309.8983165908,-30210681.073133398,-159081.13826367666,33386255.724868387,-324432.4738624771,16061.633904431597,2177729.7974627414
105,6.4141204625467725e-06,3341110746.8916326,21430.28680927255,-1212291697.6405933,alto,alto,bajo,alto,bajo,bajo,alto,21175814.32239275,-2503369637.901931,-25240490.578840528,1848999985.1197984,11448913.069755891,36040132.75243253,72068770.12981544
39,0.00019878831632380377,98176050.32724081,19516.251747873226,-23794538.458971467,bajo,alto,bajo,bajo,alto,alto,alto,-1747636.7604160716,8894473.376139158,5681355.803048647,-92782068.90797889,-530446.2677780506,-10746266.415751036,15285194.691896018
28,6.696383142699686e-05,256725951.5268632,17191.353340980233,-65361274.66775923,bajo,bajo,alto,alto,alto,bajo,bajo,291258.2660336714,-143232803.18250716,7800542.816185179,202126708.61476842,-3744163.755228406,4877177.601608005,12904913.600347964
106,3.244906400051968e-05,499278280.709,16201.112884795772,-399845179.3179272,alto,alto,bajo,alto,bajo,alto,bajo,-535302.9132915243,-267216260.33341962,-766759.4452206829,134125569.02600767,-708461.7428139802,605806.5496868218,2587029.5608890294
108,3.573008722454289e-06,4228383500.3901186,15108.051128775693,1694961317.9592342,alto,alto,bajo,alto,alto,bajo,bajo,-6760397.188332155,3181834778.8097353,35967422.800913684,-2206636841.5572286,25566581.37116836,104958503.27151775,2269552.233399355
5,0.009713566941834895,1356978.211211986,13181.098693218995,399122.1367726745,bajo,bajo,bajo,bajo,alto,bajo,alto,12386.330988278845,-971803.9732520501,201193.17526713642,819824.8639425524,-10298.173455245327,131866.8094892616,86305.2309213311
61,8.603964445342522e-05,143929584.32894123,12383.650261991384,34498798.28245561,bajo,alto,alto,alto,alto,bajo,alto,742054.0446694273,-118365560.19721839,4408172.391632025,74006685.95896809,-2864501.8639857443,588470.9836010877,-3102975.6155543216
